Name,DOB,Email,phone_number,Country,location,Address,Education,Gender,Zip_Code,skillsofusers,File_path
Uriah Bridges,07-10-1969,uriah.bridges@bilearner.com,(225)245-1408x043,United States,"Chesapeake, Virginia",597 Smith Point,Masters,Female,34904,"['communication', 'performance management', 'budgeting', 'leadership', 'marketing', 'employee relations', 'resource management', 'conflict resolution']",archive (5)/data/data/HR/32308556.pdf
Paula Small,30-08-1965,paula.small@bilearner.com,583-605-2634x9851,United States,"Denver, Colorado",8116 Stuart Loop,Bachelors,Male,6593,"['Creativity', 'Excel', 'Research']",archive (5)/data/data/ENGINEERING/24647794.pdf
Edward Buck,06-10-1991,edward.buck@bilearner.com,001-785-849-5993x13653,United States,"Columbus, Georgia",5940 Barr Villages Suite 075,Bachelors,Male,2330,"['monitoring', 'data analysis', 'research']",archive (5)/data/data/ACCOUNTANT/15821633.pdf
Michael Riordan,04-04-1998,michael.riordan@bilearner.com,634.406.0704,United States,"Austin, Texas",442 Lewis Mount,Bachelors,Male,58782,"['automation', 'Scripting', 'Collaboration', 'Ansible', 'Java', 'Jenkins', 'CD', 'subversion', 'Software Development Life Cycle', 'GIT', 'Shell Scripting', 'base', 'Security', 'Automation', 'marketing', 'sales', 'Linux']",archive (5)/data/data/AGRICULTURE/10953078.pdf
Jasmine Onque,29-08-1969,jasmine.onque@bilearner.com,759-495-4023,United States,"Glendale, Arizona",95961 Taylor Circles Apt. 169,Bachelors,Female,33174,"['communication', 'attention to detail', 'security', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/SALES/23296286.pdf
Maruk Fraval,03-04-1949,maruk.fraval@bilearner.com,+1-994-570-8748x340,United States,"Lubbock, Texas",3030 Bell Islands,Masters,Male,6050,"['sales', 'leadership', 'chef']",archive (5)/data/data/CHEF/86551046.pdf
Latia Costa,01-07-1942,latia.costa@bilearner.com,(503)369-1322x2512,United States,"Plano, Texas",58473 Jenna Trail,Bachelors,Female,90007,"['leadership', 'bi', 'business development', 'sales', 'customer service']",archive (5)/data/data/SALES/34131484.pdf
Sharlene Terry,07-03-1957,sharlene.terry@bilearner.com,569-564-7107x890,United States,"Fayetteville, North Carolina",24740 Gregory Stravenue Suite 212,Masters,Female,97756,"['SLA', 'communication', 'Business Intelligence', 'unix', 'Unit Testing', 'Unix', 'monitoring', 'Data Warehousing', 'BI', 'base', 'SQL', 'OS', 'ETL', 'UNIX', 'integration testing', 'Unit testing']",archive (5)/data/data/TEACHER/24791126.pdf
Jac McKinzie,15-05-1974,jac.mckinzie@bilearner.com,673-502-9184x4962,United States,"Memphis, Tennessee",375 Flowers Well,Bachelors,Male,78789,"['Research', '3d printing', 'training']",archive (5)/data/data/ENGINEERING/36517781.pdf
Joseph Martins,11-11-1949,joseph.martins@bilearner.com,(933)880-4235x74244,United States,"Houston, Texas",037 Quinn Route,Bachelors,Male,78207,"['excel', 'leadership', 'microsoft excel', 'data mining', 'training', 'sales']",archive (5)/data/data/ACCOUNTANT/27558837.pdf
